iter	Passed	Remaining
331	1426	2870
332	1430	2865
333	1435	2861
334	1439	2856
335	1443	2851
336	1447	2847
337	1452	2844
338	1456	2839
339	1460	2835
340	1464	2831
341	1469	2827
342	1473	2822
343	1478	2818
344	1482	2814
345	1486	2810
346	1491	2806
347	1495	2801
348	1499	2797
349	1504	2793
350	1508	2788
351	1512	2784
352	1516	2779
353	1520	2774
354	1525	2771
355	1529	2767
356	1533	2762
357	1537	2757
358	1541	2752
359	1546	2749
360	1550	2744
361	1554	2739
362	1558	2735
363	1563	2731
364	1567	2727
365	1571	2722
366	1575	2717
367	1580	2714
368	1584	2709
369	1588	2704
370	1592	2700
371	1597	2696
372	1601	2691
373	1605	2688
374	1610	2684
375	1614	2680
376	1619	2676
377	1623	2671
378	1628	2668
379	1632	2663
380	1636	2659
381	1641	2655
382	1645	2651
383	1650	2646
384	1654	2642
385	1658	2638
386	1662	2634
387	1667	2629
388	1670	2624
389	1675	2620
390	1679	2616
391	1683	2611
392	1688	2607
393	1693	2604
394	1697	2599
395	1701	2595
396	1705	2591
397	1710	2586
398	1715	2584
399	1719	2579
400	1724	2575
401	1728	2571
402	1733	2568
403	1738	2564
404	1742	2559
405	1746	2555
406	1751	2551
407	1755	2547
408	1759	2542
409	1763	2538
410	1769	2536
411	1774	2532
412	1778	2527
413	1783	2524
414	1787	2519
415	1791	2515
416	1795	2510
417	1800	2506
418	1804	2501
419	1808	2497
420	1812	2492
421	1817	2488
422	1821	2484
423	1826	2481
424	1831	2477
425	1835	2473
426	1840	2469
427	1844	2464
428	1849	2461
429	1853	2456
430	1857	2452
431	1862	2448
432	1866	2443
433	1870	2438
434	1874	2434
435	1878	2430
436	1882	2425
437	1887	2421
438	1891	2416
439	1895	2412
440	1899	2408
441	1903	2403
442	1907	2398
443	1912	2394
444	1916	2390
445	1921	2386
446	1925	2381
447	1929	2377
448	1933	2373
449	1938	2368
450	1942	2365
451	1947	2360
452	1951	2356
453	1955	2351
454	1959	2347
455	1963	2342
456	1967	2338
457	1971	2333
458	1976	2330
459	1981	2325
460	1985	2321
461	1989	2316
462	1993	2312
463	1997	2307
464	2001	2303
465	2006	2299
466	2011	2295
467	2015	2291
468	2020	2287
469	2024	2283
470	2028	2278
471	2032	2273
472	2036	2269
473	2041	2265
474	2046	2261
475	2050	2257
476	2055	2253
477	2059	2249
478	2063	2244
479	2067	2240
480	2072	2236
481	2076	2231
482	2081	2227
483	2085	2222
484	2089	2218
485	2093	2213
486	2097	2209
487	2101	2205
488	2106	2201
489	2110	2196
490	2114	2191
491	2119	2188
492	2123	2183
493	2127	2179
494	2131	2174
495	2136	2170
496	2140	2166
497	2144	2162
498	2149	2157
499	2153	2153
500	2157	2149
501	2162	2145
502	2166	2140
503	2170	2136
504	2174	2131
505	2179	2127
506	2183	2123
507	2188	2119
508	2192	2115
509	2197	2111
510	2202	2107
511	2206	2103
512	2210	2098
513	2214	2094
514	2220	2091
515	2224	2086
516	2228	2082
517	2233	2078
518	2237	2073
519	2241	2069
520	2245	2064
521	2250	2060
522	2254	2056
523	2258	2051
524	2262	2046
525	2266	2042
526	2270	2038
527	2274	2033
528	2279	2029
529	2283	2025
530	2287	2020
531	2291	2016
532	2296	2011
533	2300	2007
534	2304	2003
535	2308	1998
536	2313	1994
537	2317	1990
538	2321	1985
539	2325	1980
540	2330	1977
541	2334	1972
542	2338	1968
543	2343	1964
544	2347	1960
545	2352	1955
546	2356	1951
547	2360	1946
548	2364	1942
549	2368	1937
550	2372	1933
551	2376	1928
552	2381	1924
553	2385	1920
554	2389	1916
555	2394	1911
556	2398	1907
557	2402	1903
558	2406	1898
559	2411	1894
560	2415	1890
561	2420	1886
562	2424	1881
563	2428	1877
564	2432	1872
565	2437	1868
566	2441	1864
567	2445	1860
568	2449	1855
569	2454	1851
570	2459	1847
571	2463	1843
572	2467	1838
573	2471	1834
574	2475	1829
575	2479	1825
576	2483	1820
577	2487	1816
578	2492	1812
579	2496	1807
580	2500	1803
581	2505	1799
582	2510	1795
583	2514	1790
584	2517	1786
585	2522	1781
586	2526	1777
587	2530	1773
588	2535	1769
589	2540	1765
590	2544	1760
591	2548	1756
592	2552	1751
593	2556	1747
594	2561	1743
595	2565	1739
596	2569	1734
597	2574	1730
598	2578	1726
599	2582	1721
600	2587	1718
601	2591	1713
602	2596	1709
603	2600	1705
604	2606	1701
605	2610	1697
606	2615	1693
607	2619	1689
608	2624	1684
609	2628	1680
610	2632	1676
611	2638	1672
612	2642	1668
613	2646	1663
614	2651	1659
615	2655	1655
616	2660	1651
617	2664	1646
618	2668	1642
619	2672	1637
620	2676	1633
621	2680	1629
622	2684	1624
623	2688	1620
624	2693	1615
625	2697	1611
626	2701	1607
627	2706	1602
628	2709	1598
629	2713	1593
630	2718	1589
631	2723	1585
632	2727	1581
633	2732	1577
634	2736	1573
635	2740	1568
636	2744	1563
637	2748	1559
638	2752	1555
639	2756	1550
640	2760	1546
641	2765	1542
642	2769	1537
643	2773	1533
644	2777	1528
645	2781	1524
646	2785	1519
647	2789	1515
648	2793	1510
649	2797	1506
650	2802	1502
651	2806	1497
652	2811	1493
653	2815	1489
654	2820	1485
655	2824	1480
656	2828	1476
657	2833	1472
658	2837	1468
659	2841	1463
660	2846	1459
661	2850	1455
662	2854	1450
663	2858	1446
664	2863	1442
665	2867	1438
666	2871	1433
667	2875	1429
668	2879	1424
669	2883	1420
670	2887	1415
671	2891	1411
672	2896	1407
673	2900	1402
674	2905	1398
675	2910	1394
676	2914	1390
677	2918	1385
678	2922	1381
679	2926	1377
680	2930	1372
681	2935	1368
682	2939	1364
683	2943	1359
684	2947	1355
685	2951	1351
686	2955	1346
687	2959	1342
688	2964	1337
689	2968	1333
690	2972	1329
691	2978	1325
692	2982	1321
693	2986	1316
694	2990	1312
695	2994	1308
696	2998	1303
697	3003	1299
698	3007	1295
699	3011	1290
700	3015	1286
701	3020	1282
702	3024	1277
703	3029	1273
704	3034	1269
705	3039	1265
706	3043	1261
707	3047	1257
708	3052	1252
709	3056	1248
710	3060	1243
711	3064	1239
712	3070	1235
713	3074	1231
714	3077	1226
715	3082	1222
716	3087	1218
717	3091	1214
718	3095	1209
719	3099	1205
720	3104	1201
721	3108	1196
722	3112	1192
723	3116	1188
724	3120	1183
725	3124	1179
726	3128	1174
727	3133	1170
728	3137	1166
729	3141	1161
730	3146	1157
731	3150	1153
732	3155	1149
733	3159	1144
734	3163	1140
735	3167	1136
736	3171	1131
737	3176	1127
738	3180	1123
739	3185	1119
740	3189	1114
741	3193	1110
742	3198	1106
743	3202	1101
744	3206	1097
745	3210	1093
746	3214	1088
747	3219	1084
748	3223	1080
749	3226	1075
750	3231	1071
751	3235	1067
752	3239	1062
753	3244	1058
754	3248	1054
755	3252	1049
756	3256	1045
757	3260	1041
758	3265	1036
759	3269	1032
760	3273	1027
761	3277	1023
762	3281	1019
763	3285	1014
764	3289	1010
765	3294	1006
766	3298	1001
767	3302	997
768	3307	993
769	3311	989
770	3315	984
771	3319	980
772	3324	976
773	3328	971
774	3332	967
775	3337	963
776	3342	959
777	3346	954
778	3350	950
779	3354	946
780	3358	941
781	3362	937
782	3366	933
783	3370	928
784	3375	924
785	3379	920
786	3383	915
787	3388	911
788	3392	907
789	3397	903
790	3401	898
791	3405	894
792	3410	890
793	3415	886
794	3419	881
795	3424	877
796	3428	873
797	3432	868
798	3436	864
799	3441	860
800	3445	855
801	3449	851
802	3454	847
803	3459	843
804	3463	839
805	3467	834
806	3473	830
807	3478	826
808	3482	822
809	3487	817
810	3491	813
811	3495	809
812	3499	804
813	3504	800
814	3508	796
815	3512	792
816	3516	787
817	3521	783
818	3525	779
819	3529	774
820	3534	770
821	3539	766
822	3543	761
823	3546	757
824	3551	753
825	3555	748
826	3559	744
827	3563	740
828	3568	736
829	3573	731
830	3577	727
831	3581	723
832	3585	718
833	3590	714
834	3594	710
835	3598	705
836	3603	701
837	3607	697
838	3611	693
839	3616	688
840	3620	684
841	3624	680
842	3628	675
843	3633	671
844	3637	667
845	3641	662
846	3646	658
847	3650	654
848	3654	649
849	3658	645
850	3663	641
851	3667	637
852	3671	632
853	3675	628
854	3680	624
855	3684	619
856	3689	615
857	3693	611
858	3697	606
859	3701	602
860	3705	598
861	3709	593
862	3714	589
863	3718	585
864	3721	580
865	3726	576
866	3730	572
867	3734	567
868	3739	563
869	3743	559
870	3747	555
871	3752	550
872	3756	546
873	3760	542
874	3765	537
875	3769	533
876	3773	529
877	3777	524
878	3781	520
879	3785	516
880	3789	511
881	3794	507
882	3798	503
883	3802	498
884	3806	494
885	3811	490
886	3815	486
887	3819	481
888	3823	477
889	3827	473
890	3831	468
891	3835	464
892	3839	460
893	3844	455
894	3849	451
895	3854	447
896	3858	443
897	3862	438
898	3867	434
899	3871	430
900	3876	425
901	3880	421
902	3885	417
903	3889	413
904	3894	408
905	3898	404
906	3902	400
907	3908	395
908	3912	391
909	3916	387
910	3920	383
911	3925	378
912	3929	374
913	3934	370
914	3939	365
915	3943	361
916	3947	357
917	3951	352
918	3957	348
919	3961	344
920	3965	340
921	3970	335
922	3975	331
923	3979	327
924	3983	322
925	3988	318
926	3992	314
927	3996	310
928	4000	305
929	4005	301
930	4009	297
931	4013	292
932	4019	288
933	4023	284
934	4027	279
935	4031	275
936	4036	271
937	4040	267
938	4045	262
939	4049	258
940	4054	254
941	4058	249
942	4062	245
943	4067	241
944	4071	236
945	4075	232
946	4079	228
947	4084	224
948	4088	219
949	4092	215
950	4097	211
951	4102	206
952	4107	202
953	4111	198
954	4116	193
955	4120	189
956	4124	185
957	4128	181
958	4133	176
959	4137	172
960	4141	168
961	4146	163
962	4150	159
963	4155	155
964	4158	150
965	4164	146
966	4168	142
967	4173	137
968	4177	133
969	4181	129
970	4185	125
971	4190	120
972	4194	116
973	4198	112
974	4202	107
975	4206	103
976	4210	99
977	4215	94
978	4219	90
979	4224	86
980	4229	81
981	4233	77
982	4237	73
983	4241	68
984	4245	64
985	4250	60
986	4254	56
987	4258	51
988	4263	47
989	4267	43
990	4271	38
991	4275	34
992	4280	30
993	4284	25
994	4288	21
995	4292	17
996	4297	12
997	4301	8
998	4305	4
999	4309	0
